epoch,tj_easy_ac_att_JAMMAS_1 - episode_return__MAX,tj_easy_ac_att_JAMMAS_2 - episode_return__MAX,tj_easy_ac_att_JAMMAS_3 - episode_return__MAX,tj_easy_ac_att_JAMMAS_4 - episode_return__MAX,,,,,,,,,,,,,,,,,,
259,-23.2,-23.2,-23.2,-22.4,,,,,,,,,,,,,,,,,,
260,-16.8,-16.8,-16.8,-19.2,,,,,,,,,,,,,,,,,,
261,-27.2,-27.2,-27.2,-25.6,,,,,,,,,,,,,,,,,,
262,-24.8,-24.8,-24.8,-23.2,,,,,,,,,,,,,,,,,,
263,-17.6,-17.6,-17.6,-18.4,,,,,,,,,,,,,,,,,,
264,-17.6,-17.6,-17.6,-18.4,,,,,,,,,,,,,,,,,,
265,-16,-16,-16,-17.6,,,,,,,,,,,,,,,,,,
266,-21.6,-21.6,-21.6,-22.4,,,,,,,,,,,,,,,,,,
267,-29.6,-28,-28,-26.4,,,,,,,,,,,,,,,,,,
268,-21.6,-21.6,-21.6,-20.8,,,,,,,,,,,,,,,,,,
269,-16.8,-16.8,-16.8,-16.8,,,,,,,,,,,,,,,,,,
270,-18.4,-18.4,-18.4,-19.2,,,,,,,,,,,,,,,,,,
271,-21.6,-21.6,-21.6,-19.2,,,,,,,,,,,,,,,,,,
272,-25.6,-25.6,-25.6,-27.2,,,,,,,,,,,,,,,,,,
273,-29.6,-29.6,-29.6,-28.8,,,,,,,,,,,,,,,,,,
274,-25.6,-25.6,-25.6,-27.2,,,,,,,,,,,,,,,,,,
275,-15.2,-15.2,-15.2,-12,,,,,,,,,,,,,,,,,,
276,-12,-12,-12,-12.8,,,,,,,,,,,,,,,,,,
277,-24,-24,-24,-25.6,,,,,,,,,,,,,,,,,,
278,-24,-24.8,-24.8,-24,,,,,,,,,,,,,,,,,,
279,-18.4,-18.4,-18.4,-17.6,,,,,,,,,,,,,,,,,,
280,-24,-24,-24,-25.6,,,,,,,,,,,,,,,,,,
281,-21.6,-21.6,-21.6,-21.6,,,,,,,,,,,,,,,,,,
282,-28.8,-28.8,-28.8,-28.8,,,,,,,,,,,,,,,,,,
283,-26.4,-26.4,-26.4,-26.4,,,,,,,,,,,,,,,,,,
284,-18.4,-18.4,-18.4,-17.6,,,,,,,,,,,,,,,,,,
285,-12.8,-12.8,-12.8,-11.2,,,,,,,,,,,,,,,,,,
286,-20,-20,-20,-21.6,,,,,,,,,,,,,,,,,,
287,-20.8,-20.8,-20.8,-21.6,,,,,,,,,,,,,,,,,,
